$map << EOD
-0.03 0.33 85.86
0.03 0.38 83.77
0.06 0.30 81.03
-0.03 0.33 85.86


0.68 -0.23 46.03
0.69 -0.35 44.55
0.61 -0.30 47.97
0.68 -0.23 46.03


0.25 0.47 76.49
0.34 0.52 76.02
0.33 0.43 74.30
0.25 0.47 76.49


-0.01 0.26 82.95
-0.03 0.33 85.86
0.06 0.30 81.03
-0.01 0.26 82.95


0.69 -0.35 44.55
0.68 -0.23 46.03
0.78 -0.32 42.64
0.69 -0.35 44.55


-0.16 -0.20 83.47
-0.15 -0.15 83.21
-0.10 -0.18 81.26
-0.16 -0.20 83.47


0.87 0.20 45.33
0.94 0.10 32.04
0.81 0.07 41.13
0.87 0.20 45.33


0.79 -0.06 39.94
0.81 0.07 41.13
0.89 -0.02 28.97
0.79 -0.06 39.94


0.80 -0.19 40.78
0.68 -0.23 46.03
0.69 -0.11 46.25
0.80 -0.19 40.78


0.08 -0.06 74.83
0.01 -0.01 78.10
0.07 0.04 76.43
0.08 -0.06 74.83


0.79 -0.06 39.94
0.80 -0.19 40.78
0.69 -0.11 46.25
0.79 -0.06 39.94


0.34 0.52 76.02
0.25 0.47 76.49
0.27 0.57 77.37
0.34 0.52 76.02


0.33 -0.25 60.47
0.24 -0.32 63.57
0.26 -0.22 64.54
0.33 -0.25 60.47


0.59 -0.48 44.11
0.48 -0.56 45.96
0.49 -0.42 49.58
0.59 -0.48 44.11


0.25 0.47 76.49
0.20 0.53 77.78
0.27 0.57 77.37
0.25 0.47 76.49


0.81 0.07 41.13
0.94 0.10 32.04
0.89 -0.02 28.97
0.81 0.07 41.13


0.42 0.46 73.11
0.37 0.34 71.01
0.33 0.43 74.30
0.42 0.46 73.11


-0.15 -0.15 83.21
-0.16 -0.20 83.47
-0.21 -0.16 84.63
-0.15 -0.15 83.21


-0.16 -0.20 83.47
-0.10 -0.18 81.26
-0.12 -0.25 82.53
-0.16 -0.20 83.47


-0.15 0.30 86.73
-0.13 0.35 89.84
-0.08 0.29 85.89
-0.15 0.30 86.73


0.34 0.52 76.02
0.42 0.46 73.11
0.33 0.43 74.30
0.34 0.52 76.02


0.24 -0.32 63.57
0.33 -0.25 60.47
0.35 -0.35 57.84
0.24 -0.32 63.57


-0.21 -0.16 84.63
-0.16 -0.20 83.47
-0.21 -0.22 84.52
-0.21 -0.16 84.63


0.48 -0.56 45.96
0.38 -0.44 54.33
0.49 -0.42 49.58
0.48 -0.56 45.96


0.37 0.34 71.01
0.42 0.46 73.11
0.47 0.36 68.76
0.37 0.34 71.01


-0.19 -0.09 85.16
-0.15 -0.15 83.21
-0.21 -0.16 84.63
-0.19 -0.09 85.16


0.78 -0.60 36.04
0.74 -0.70 26.86
0.65 -0.61 35.70
0.78 -0.60 36.04


0.25 -0.14 66.53
0.17 -0.22 68.44
0.15 -0.12 71.12
0.25 -0.14 66.53


-0.20 -0.02 87.03
-0.19 -0.09 85.16
-0.24 -0.06 87.95
-0.20 -0.02 87.03


0.15 -0.01 72.69
0.08 -0.06 74.83
0.07 0.04 76.43
0.15 -0.01 72.69


0.81 0.07 41.13
0.79 -0.06 39.94
0.72 -0.01 45.85
0.81 0.07 41.13


0.57 -0.13 51.85
0.44 -0.11 58.51
0.52 -0.03 56.45
0.57 -0.13 51.85


-0.09 0.11 82.72
-0.04 0.05 80.78
-0.11 0.04 83.20
-0.09 0.11 82.72


0.15 -0.12 71.12
0.15 -0.01 72.69
0.23 -0.04 68.61
0.15 -0.12 71.12


0.48 -0.70 41.52
0.36 -0.65 49.64
0.48 -0.56 45.96
0.48 -0.70 41.52


-0.03 -0.35 78.21
-0.09 -0.45 80.11
-0.10 -0.35 82.78
-0.03 -0.35 78.21


0.48 -0.56 45.96
0.36 -0.65 49.64
0.33 -0.55 53.83
0.48 -0.56 45.96


0.56 0.15 58.65
0.48 0.07 60.31
0.45 0.17 64.03
0.56 0.15 58.65


-0.19 -0.09 85.16
-0.20 -0.02 87.03
-0.15 -0.03 84.37
-0.19 -0.09 85.16


0.15 -0.42 66.24
0.03 -0.50 71.43
0.03 -0.40 73.21
0.15 -0.42 66.24


0.14 -0.55 64.06
0.03 -0.50 71.43
0.15 -0.42 66.24
0.14 -0.55 64.06


0.47 0.36 68.76
0.50 0.24 63.90
0.41 0.26 67.79
0.47 0.36 68.76


0.48 -0.56 45.96
0.59 -0.48 44.11
0.60 -0.56 40.57
0.48 -0.56 45.96


-0.08 0.29 85.89
-0.13 0.35 89.84
-0.07 0.35 89.62
-0.08 0.29 85.89


0.63 -0.03 50.99
0.57 -0.13 51.85
0.52 -0.03 56.45
0.63 -0.03 50.99


0.68 -0.23 46.03
0.57 -0.13 51.85
0.69 -0.11 46.25
0.68 -0.23 46.03


-0.23 0.15 85.52
-0.20 0.20 84.95
-0.17 0.16 84.80
-0.23 0.15 85.52


0.87 0.20 45.33
0.81 0.07 41.13
0.78 0.17 49.04
0.87 0.20 45.33


0.93 -0.20 37.23
0.89 -0.30 40.83
0.80 -0.19 40.78
0.93 -0.20 37.23


0.38 -0.44 54.33
0.48 -0.56 45.96
0.33 -0.55 53.83
0.38 -0.44 54.33


0.06 -0.15 74.70
0.15 -0.12 71.12
0.09 -0.22 72.40
0.06 -0.15 74.70


0.14 -0.55 64.06
0.15 -0.42 66.24
0.26 -0.49 59.19
0.14 -0.55 64.06


0.57 -0.13 51.85
0.63 -0.03 50.99
0.69 -0.11 46.25
0.57 -0.13 51.85


0.15 -0.12 71.12
0.17 -0.22 68.44
0.09 -0.22 72.40
0.15 -0.12 71.12


-0.10 -0.18 81.26
-0.07 -0.24 80.12
-0.12 -0.25 82.53
-0.10 -0.18 81.26


0.06 -0.31 73.24
0.15 -0.42 66.24
